firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo
Карамат Бабашевна,Орозова,,,,З.Алымбекову
Малик Калылович,Осмонов,В командировке,КНР,09-10.10.2013г.,А.Эшимову
Мамат,Орозбаев,В командировке,Ошская обл.,09-10.10.2013г.,Ч.Турсунбекову
Курманбек Эргешович,Осмонов,По состоянию здоровья,,09-10.10.2013г.,-
Нурлан Чолпонбаевич,Сулайманов,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,09-10.10.2013г.,-
Айнуру Тойчиевна,Алтыбаева,В командировке,г.Санкт-Петербург,10.10.2013г.,-
Нурбек Каарыевич,Алимбеков,,,,А.Эшимову
Бахадыр Искакович,Кадыров,,,,-
Курманбек Сапарович,Дыйканбаев,В связи с семейными обстоятельствами,,02.10.2013г.,У.Аманбаевой
,Шер Болот,В командировке,Франция,02-03.10.2013г.,-
Данияр Омурзакович ,Тербишалиев,В командировке,Шри-Ланка,02-03.10.2013г.,-
Талантбек Макишович,Узакбаев,В командировке,Республика Алтай,02-03.10.2013г.,Э.Исакову
Нурлан Надирович,Торобеков,По состоянию здоровья,,02-03.10.2013г.,-
Нурлан Чолпонбаевич,Сулайманов,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,02-03.10.2013г.,-
Омурбек Чиркешович,Текебаев,В командировке,Ошская обл.,25.09.2013г.,-
Кожобек Джайчыбекович,Рыспаев,В командировке,г.Будапешт,25-26.09.2013г.,К.Иманалиеву
Эристина Азрет-Алиевна,Кочкарова,В командировке,Карачаево-Черкесская Р-ка,25-26.09.2013г.,Бакир уулу Т.
Алмазбек Баатырбекович,Баатырбеков,В командировке,г.Минск,25-26.09.2013г.,-
Мамат,Орозбаев,В командировке,Ошская обл.,25-26.09.2013г.,Ч.Турсунбекову
Жылдызкан Айтибаевна,Джолдошова,По состоянию здоровья,,25-26.09.2013г.,М.Абдылдаеву
Нурлан Чолпонбаевич,Сулайманов,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,25-26.09.2013г.,-
Нурлан Надирович,Торобеков,По состоянию здоровья,,26.09.2013г.,А.Алтыбаевой
Эсенгул Байдалиевич,Исаков,В командировке,Иссык-Кульская обл.,26.09.2013г.,Т.Узакбаеву
Бактыбек,Калмаматов,В связи с семейными обстоятельствами,,26.09.2013г.,Ж.Сапарбаеву
Майрамкул Бекчороевна,Тиленчиева,В командировке,г.Нарын,18.09.2013г.,Н.Мадалиеву
Бакыт Эргешович,Торобаев,В командировке,г.Жалал-Абад,18.09.2013г.,-
Тынчтык Урайимович,Шайназаров,,,,-
Нурлан Надирович,Торобеков,В командировке,г.Нарын,18.09.2013г.,-
Турсунбай,Бакир уулу,В командировке,Российская Федерация,18-19.09.2013г.,Э.Кочкаровой
Жылдызкан Айтибаевна,Джолдошова,В командировке,г.Санкт-Петербург,18-19.09.2013г.,М.Абдылдаеву
Кожобек Джайчыбекович,Рыспаев,В командировке,г.Будапешт,18-19.09.2013г.,К.Иманалиеву
Курманбек Сапарович,Дыйканбаев,В командировке,г.Баку,18-19.09.2013г.,-
Нурлан Надирович,Торобеков,В командировке,г.Нарын,18-19.09.2013г.,-
Айнуру Тойчиевна,Алтыбаева,В командировке,г.Астана,18-19.09.2013г.,-
Талантбек Макишович,Узакбаев,В командировке,г.Сидней,18-19.09.2013г.,Э.Исакову
Надира Азимовна,Нарматова,По состоянию здоровья,,18-19.09.2013г.,У.Кочкорову
Нурлан Чолпонбаевич,Сулайманов,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,18-19.09.2013г.,-
Алмазбек Баатырбекович,Баатырбеков,В командировке &nbsp;,,11-12.09.2013г.,Э.Джумалиевой
Абдулатип Маматасанович,Режавалиев,В командировке &nbsp;,Жалал-Абадская обл.,11-12.09.2013г.,Э.Джумалиевой
Надира Азимовна,Нарматова,По состоянию здоровья,,11-12.09.2013г.,У.Кочкорову
Нурлан Чолпонбаевич,Сулайманов,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,11-12.09.2013г.,-
Абдыманап Орозбаевич,Кутушев,В командировке &nbsp;,Ошская обл.,12.09.2013г.,Д.Тербишалиеву
Нурлан Надирович,Торобеков,По состоянию здоровья,,12.09.2013г.,-
Гульнара Оморовна,Жамгырчиева,По уважительной причине,,04.09.2013г.,-
Каныбек Капашович,Иманалиев,В командировке,Великобритания,04-05.09.2013г.,-
Токтогул Туманович,Туманов,,,,-
Сайдулла Канболотович,Нышанов,,,,-
Каныбек,Осмоналиев,,,,-
Карганбек Садыкович,Самаков,,,,-
Айнуру Тойчиевна,Алтыбаева,,,,-
Ахматбек Келдибекович,Келдибеков,,,,-
Абдыманап Орозбаевич,Кутушев,,,,Д.Тербишалиеву
Надира Азимовна,Нарматова,В командировке,Токтогульский р-н,04-05.09.2013г.,Д.Исаевой
Бакыт Эргешевич,Торобаев,В командировке,г.Жалал-Абад,04-05.09.2013г.,-
Курманбек Сапарович,Дыйканбаев,В командировке,КНР,04-05.09.2013г.,-
Нургазы Абдыраевич,Айдаров,По состоянию здоровья,,04-05.09.2013г.,-
Абдимиталип Калдарбаевич,Кочкорбаев,,,,Ө.Бакирову
Нурлан Чолпонбаевич,Сулайманов,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,04-05.09.2013г.,-
Малик Калылович,Осмонов,В командировке,Таласская обл.,05.09.2013г.,А.Режавалиеву
Феликс Шаршенбаевич,Кулов,В связи с семейными обстоятельствами,,26.06.2013г.,-
Асия Айтбаевна,Сасыкбаева,В командировке,США,26-27.06.2013г.,Ө.Текебаеву
Галина Анатольевна,Скрипкина,В командировке,г.Брюссель,26-27.06.2013г.,-
Кенжебек Сатымкулович,Бокоев,В командировке,г.Вена,26-27.06.2013г.,-
Абдыманап Орозбаевич,Кутушев,В командировке,г.Брюссель,26-27.06.2013г.,-
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,26-27.06.2013г.,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,26-27.06.2013г.,-
Кожобек Джайчыбекович,Рыспаев,В командировке,Баткенская обл.,27.06.2013г.,-
Надира Азимовна,Нарматова,В командировке,Ноокатский р-н,27.06.2013г.,Д.Исаевой
Тынчтык Урайимович,Шайназаров,В командировке,Ошская обл.,19.06.2013г.,-
Асия Айтбаевна,Сасыкбаева,В командировке,США,19-20.06.2013г.,Ө.Текебаеву
Алла Николаевна,Измалкова,,,,И.Карамушкиной
Эльмира Сансызбаевна,Иманалиева,,,,-
Урмат Абдилашимовна,Аманбаева,,,,-
Майрамгул Бекчороевна,Тиленчиева,,,,К.Иманалиеву
Айнуру Тойчиевна,Алтыбаева,В командировке,г.Алматы,19-20.06.2013г.,Ф.Кулову
Дамира Абаскановна,Ниязалиева,В командировке,г.Москва,19-20.06.2013г.,-
Каныбек,Осмоналиев,В командировке,г.Ош,19-20.06.2013г.,Ф.Кулову
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,19-20.06.2013г.,-
Акылбек Шакирович,Султанов,,,,З.Жоошбекову
Нариман Ташболотович,Тюлеев,По уважительной причине,,19-20.06.2013г.,-
Абдимуталип Калдарбаевич,Кочкорбаев,На открытии больницы,в с. Алайкуу,20.06.2013г.,У.Кочкорову
Нургазы Абдыраевич,Айдаров,,,,-
Данияр Омурзакович,Тербишалиев,По уважительной причине,,20.06.2013г.,А.Кутушеву
Надира Азимовна,Нарматова,В командировке,г.Анкара,12.06.2013г.,-
,ШерБолот,,,,-
Урмат Абдилашимовна,Аманбаева,,,,-
Эркингуль Бекбачаевна,Иманкожоева,,,,-
Курманбек Сапарович,Дыйканбаев,,,,-
Эсенгул Байдалиевич,Исаков,,,,-
Майрамгул Бекчороевна,Тиленчиева,На открытии строительства бетонного завода Верхне-Нарынской ГЭС,,12.06.2013г.,К.Иманалиеву
Карганбек Садыкович,Самаков,,,,-
Мамат,Орозбаев,В командировке,г.Жалал-Абад,12.06.2013ж.,Ч.Турсунбековго
Феликс Шаршенбаевич,Кулов,В связи с семейными обстоятельствами,,12.06.2013г.,-
Курманбек Эргешович,Осмонов,По состоянию здоровья,,12.06.2013г.,М.Абдылдаеву
Асылбек Шарипович,Жээнбеков,В командировке,г.Анкара,12-13.06.2013г.,-
,Бакир уулу Турсунбай,В командировке,г.Минск,12-13.06.2013г.,Э.Кочкаровой
Эркинбек Джумабаевич,Алымбеков,В командировке,г.Сеул,12-13.06.2013г.,-
Бакыт Эргешевич,Торобаев,В командировке,Израиль,12-13.06.2013г.,-
Тынчтыкбек Урайимович,Шайназаров,,,,-
Кенжебек Сатымкулович,Бокоев,На похоронах,,12-13.06.2013г.,Ч.Султанбековой
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,12-13.06.2013г.,-
Акылбек Шакирович,Султанов,,,,Т.Зулпукарову
Шаршенбек Шайлообекович,Абдыкеримов,,,,К.Исаеву
Кожобек Джайчыбекович,Рыспаев,,,,Т.Узакбаеву
Нурбек Каарыевич,Алимбеков,,,,А.Эшимову
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,12-13.06.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Талантбек Макишевич,Узакбаев,По состоянию здоровья,,13.06.2013г.,Ф.Кулову
Жылдызкан Айтибаевна,Джолдошова,На презентации самолета &laquo;Курманжан Датка&raquo;,,05.06.2013г.,М.Абдылдаеву
Нуркамил Апишевич,Мадалиев,По состоянию здоровья,,05.06.2013г.,М.Тиленчиевой
Ирина Юрьевна,Карамушкина,В командировке,Непал,05-06.06.2013г.,А.Измалковой
Айнуру Тойчиевна,Алтыбаева,,,,Ф.Кулову
Абдулатип Маматасанович,Режавалиев,В командировке,Ошская обл.,05-06.06.2013г.,Э.Джумалиевой
Жусупали Калматович,Исаев,В командировке,Литва,05-06.06.2013г.,Ч.Турсунбекову
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,05-06.06.2013г.,-
Курманбек Эргешович,Осмонов,,,,М.Абдылдаеву
Камчыбек Кыдыршаевич,Ташиев,По уважительным причинам,,05-06.06.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Максат Эсенович,Сабиров,На встрече с избирателями,Иссык-Кульская обл.,06.06.2013г.,У.Аманбаевой
Эсенгул Байдалиевич,Исаков,На похоронах,,29.05.2013г.,Т.Узакбаеву
Карганбек Садыкович,Самаков,В командировке,,29-30.05.2013г.,-
Улан Сапарбекович,Чолпонбаев,На сдаче,экзаменационной сессии,29-30.05.2013г.,&nbsp;
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,29-30.05.2013г.,-
Кожобек Джайчыбекович,Рыспаев,,,,Т.Узакбаеву
Акылбек Жусупович,Эшимов,,,,Н.Мурашеву
Нурлан Надирович,Торобеков,,,,-
Нурбек Каарыевич,Алимбеков,,,,А.Бекматову
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,30.05.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Анвар,Артыков,В командировке,Ошская обл.,30.05.2013г.,А.Маматалиеву
Ирина Юрьевна,Карамушкина,В командировке,Новосибирская обл.,22.05.2013г.,А.Измалковой
Майрамкул Бекчороевна ,Тиленчиева,В связи с семейными обстоятельствами,,22-23.05.2013г.,Н.Мадалиеву
Шаршенбек Шайлообекович,Абдыкеримов,В командировке,г.Пекин,22-23.05.2013г.,К.Исаеву
Турсунтай Аблизович,Салимов,В командировке,г.Ош,22-23.05.2013г.,Ч.Турсунбекову
Исхак Айтбаевич,Пирматов,В командировке,г.Баку,22-23.05.2013г.,-
Алмазбек Баатырбекович,Баатырбеков,,,,К.Исаеву
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,22-23.05.2013г.,-
Кожобек Жайчыбекович,Рыспаев,,,,Т.Узакбаеву
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,23.05.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Назарали Турдалиевич,Арипов,В командировке,г.Сүлүктү,23.05.2013г.,Ч.Султанбековой
Гульнара Оморовна,Жамгырчиева,В связи с семейными обстоятельствами,,15.05.2013г.,Ч.Турсунбекову
Жоомарт Рахатович,Сапарбаев,В командировке,Арабская Республика Египет,15-16.05.2013г.,Н.Никитенко
Кенжебек Сатымкулович,Бокоев,В командировке,Франция,15-16.05.2013г.,&nbsp;
Шаршенбек Шайлообекович,Абдыкеримов,В командировке,КНР,15-16.05.2013г.,А.Баатырбекову
Каныбек,Осмоналиев,В командировке,г.Варшава,15-16.05.2013г.,Ф.Кулову
Өмүрбек,Абдрахманов,В командировке,США,15-16.05.2013г.,-
Равшан Бабырбекович,Жээнбеков,,,,-
Райкан,Төлөгөнов,В командировке,Аксыйский р-н,15-16.05.2013г.,-
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,15-16.05.2013г.,-
Эсенгул Байдалиевич,Исаков,,,,Т.Узакбаеву
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,15-16.05.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Каныбек Капашович,Иманалиев,В командировке,г.Москва,16.05.2013г.,М.Теленчиевой
Анвар,Артыков,В командировке,г.Ош,24.04.2013г.,-
Абдырахман Мадакимович,Маматалиев,,,,-
Улугбек Тойчубаевич,Кочкоров,,,,-
Абдыжапар Гапырович,Бекматов,,,,-
Чыныбай Акунович,Турсунбеков,В командировке,г.Астана,24-25.04.2013г.,-
Назарали Турдалиевич,Арипов,В командировке,г.Ош,24-25.04.2013г.,-
Нарынбек,Молдобаев,,,,-
Замирбек Маданбекович,Алымбеков,,,,-
Азамат Абдуллажанович,Арапбаев,,,,-
Акуналы Атамырзаевич,Досалиев,,,,-
Олег Леонидович,Домшенко,В командировке,г.Санкт-Петербург,24-25.04.2013г.,-
Галина Анатольевна,Скрипкина,,,,-
Айнуру Тойчиевна,Алтыбаева,,,,-
Каныбек Капашович,Осмоналиев,В командировке,г.Ташкент,24-25.04.2013г.,Ф.Кулову
Кенжебек Сатымкулович,Бокоев,В командировке,Австрия,24-25.04.2013г.,М.Сабирову
Каныбек Капашович,Иманалиев,В командировке,г.Астана,24-25.04.2013г.,К.Рыспаеву
Элмурат Авдувапович,Обдунов,На конференции,,24-25.04.2013г.,А.Эшимову
Асия Айтбаевна,Сасыкбаева,В командировке,Франция,24-25.04.2013г.,-
Данияр Омурзакович,Тербишалиев,,,,Д.Ниязалиевой
Алмазбек Баатырбекович,Баатырбеков,,,,-
Нургазы Абдыраевич,Айдаров,,,,-
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,24-25.04.2013г.,-
Роза Корчубековна,Акназарова,,,,-
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,24-25.04.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Жылдызкан Айтибаевна,Джолдошова,В командировке,г.Санкт-Петербург,25.04.2013г.,&nbsp;
Курманбек Эргешевич,Осмонов,,,,М.Абдылдаеву
Феликс Шаршенбаевич,Кулов,В командировке,г.Баткен,25.04.2013г.,-
Ирина Юрьевна,Карамушкина,,,,А.Измалковой
Майрамгул Бекчороевна,Тиленчиева,В командировке,Монголия,25.04.2013г.,К.Омурбекову
Тынчтык Урайимович,Шайназаров,В командировке,"Нарын, Иссык-Кульская обл.",17.04.2013г.,-
Бакыт Эргешевич,Торобаев,,,,-
Жылдызкан Айтибаевна,Жолдошова,По состоянию здоровья,,17.04.2013г.,М.Абдылдаеву
Наталья Владимировна,Никитенко,В командировке,г.Алматы,17-18.04.2013г.,А.Сасыкбаевой
Роза Корчубековна,Акназарова,В командировке,Дания,17-18.04.2013г.,Ч.Султанбековой
Өмүрбек Мирзараимович,Бакиров,В командировке,Турция,17-18.04.2013г.,-
Акылбек Шакирович,Султанов,В командировке,Ошская обл.,17-18.04.2013г.,Т.Зулпукарову
Элмурат Авдувапович,Обдунов,На конференции,,17-18.04.2013г.,А.Эшимову
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,17-18.04.2013г.,-
Малик Калылович,Осмонов,,,,А.Режавалиеву
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,17-18.04.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Алмазбек Баатырбекович,Баатырбеков,В командировке,Казакстан,18.04.2013г.,Э.Джумалиевой
Максат Эсенович,Сабиров,В командировке,Иссык-Кульская обл.,18.04.2013г.,У.Аманбаевой
Мирлан Исакбекович,Бакиров,В командировке,Литва,10-11.04.2013г.,Т.Шайназарову
Назарали Турдалиевич,Арипов,В командировке,"Ошская, Баткенская обл.",10-11.04.2013г.,Ч.Султанбековой
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,10-11.04.2013г.,-
Роман,Шин,,,,-
Жоомарт Рахатович,Сапарбаев,,,,Н.Никитенко
Нарынбек,Молдобаев,,,,-
Джаныш Камчыбекович,Кудайбергенов,,,,&nbsp;
Курманбек Эргешович,Осмонов,,,,-
Өмүрбек Чиркешович,Текебаев,,,,-
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,10-11.04.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Асылбек Шарипович,Жээнбеков,В командировке,г.Санкт-Петербург,11.04.2013г.,-
Абдырахман Мадакимович,Маматалиев,,,,А.Артыкову
Галина Анатольевна,Скрипкина,,,,-
Абдимуталип Калдарбаевич,Кочкорбаев,,,,У.Кочкорову
Абдыжапар Гапарович,Бекматов,,,,-
Эсенгул Байдалиевич,Исаков,,,,Т.Узакбаеву
Ирина Юрьевна,Карамушкина,,,,А.Измалковой
Эристина Азрет-Алиевна,Кочкарова,,,,Бакир уулу Т.
Туратбек Мадылбекович,Мадылбеков,,,,-
Акылбек Жусупович,Эшимов,,,,А.Сулайманову
Жылдызкан Айтибаевна,Джолдошова,,,,М.Абдылдаеву
Максат Эсенович,Сабиров,,,,У.Аманбаевой
Нуржан Нуралиевна,Бадыкеева,,,,-
Нурбек Мурпазылжанович,Мурашев,,,,А.Сулайманову
Ыргал Кармышаковна,Кадыралиева,,,,-
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,03-04.04.2013г.,-
Курманбек Эргешович,Осмонов,,,,-
Хаджимурат Зулкарнаевич,Коркмазов,,,,-
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,03-04.04.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Өмүрбек Чиркешович,Текебаев,По состоянию здоровья,,04.04.2013г.,-
Урмат Абдилашимовна,Аманбаева,В командировке,Турция,04.04.2013г.,М.Сабирову
,Бакир уулу Турсунбай,,,,-
Кожобек Джайчыбекович,Рыспаев,,,,-
Акылбек Шакирович,Султанов,,,,Т.Зулпукарову
Шаршенбек Шайлообекович,Абдыкеримов,В командировке,Нарынская обл.,04.04.2013г.,К.Исаеву
Талантбек Макишович,Узакбаев,В командировке,Жети&ndash;Өгүзский р-н,04.04.2013г.,Э.Исакову
Гульнара Оморовна,Жамгырчиева,В командировке,Азербайджан,04.04.2013г.,-
Өмүрбек Чиркешович,Текебаев,По состоянию здоровья,,27.03.2013г.,-
Ташполот,Балтабаев,В командировке,Эстония,27-28.03.2013г.,-
Урмат Абдилашимовна,Аманбаева,,,,М.Сабирову
Абдырахман Мадакимович,Маматалиев,В командировке,г.Москва,27-28.03.2013г.,З.Бекбоеву
Акуналы Атамурзаевич,Досалиев,,,,-
Анвар,Артыков,,,,-
Кенжебек Сатымкулович,Бокоев,В командировке,Таласская обл.,27-28.03.2013г.,М.Сабирову
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,27-28.03.2013г.,-
Нурлан Надирович,Торобеков,,,,&nbsp;
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,27-28.03.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Дастан Далабаевич,Бекешев,В командировке,г.Санкт-Петербург,28.03.2013г.,-
Чолпон Аалыевна,Султанбекова,На похоронах,,28.03.2013г.,Р.Акназаровой
Динара Шертаевна,Исаева,По состоянию здоровья,,28.03.2013г.,Н.Нарматовой
Талантбек Макишович,Узакбаев,По состоянию здоровья,,13.03.2013г.,Э.Исакову
Дастанбек Артисбекович,Джумабеков,,,,-
Алла Николаевна,Измалкова,В связи с семейными обстоятельствами,,13.03.2013г.,И.Карамушкиной
Курманбек Сапарович,Дыйканбаев,В командировке,США,13-14.03.2013г.,Ч.Султанбековой
Каныбек Капашович,Иманалиев,В командировке,США,13-14.03.2013г.,М.Тиленчиевой
Нурбек Мурпазылжанович,Мурашев,В командировке,Саудовская Аравия,13-14.03.2013г.,А.Сулайманову
Абдимуталип Калдарбаевич,Кочкорбаев,,,,У.Кочкорову
Урмат Абдилашимовна,Аманбаева,,,,М.Сабирову
Акылбек Жусупович,Эшимов,,,,А.Сулайманову
Данияр Омурзакович,Тербишалиев,На похоронах,,13-14.03.2013г.,А.Кутушеву
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,13-14.03.2013г.,-
Эльмира Сансызбаевна,Иманалиева,,,,-
Бахадыр Искакович,Сулейманов,,,,-
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,13-14.03.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Надира Азимовна,Нарматова,По состоянию здоровья,,14.03.2013г.,Д.Исаевой
Шаршенбек Шайлообекович,Абдыкеримов,В командировке,Нарынская обл.,14.03.2013г.,К.Исаеву
Курмантай,Абдиев,По состоянию здоровья,,06.03.2013г.,-
Бактыбек,Калмаматов,На похоранах,,06.03.2013г.,-
Жоомарт Рахатович,Сапарбаев,,,,А.Сасыкбаевой
Каныбек,Осмоналиев,В командировке,Кувейт,06-07.03.2013г.,Ф.Кулову
Наталья Владимировна,Никитенко,В командировке,г. Алматы,06-07.03.2013г.,А.Сасыкбаевой
Тынчтыкбек Урайимович,Шайназаров,В командировке,Ошская обл.,06-07.03.2013г.,-
Заирбек Сулайманович,Жоошбеков,В командировке,Ошская обл.,06-07.03.2013г.,Ч.Турсунбекову
Бакыт Эргешевич,Торобаев,В командировке,г.Жалал-Абад,06-07.03.2013г.,-
Мирлан Исакбекович,Бакиров,В командировке,Грузия,06-07.03.2013г.,А.Режавалиеву
Айнуру Тойчиевна,Алтыбаева,В командировке,США,06-07.03.2013г.,Ф.Кулову
Курманбек Сапарович,Дыйканбаев,В командировке,США,06-07.03.2013г.,Ч.Султанбековой
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,06-07.03.2013г.,-
Талантбек Макишович,Узакбаев,,,,Э.Исакову
Мамытбай Маткабылович,Салымбеков,,,,Ч.Турсунбекову
Бахадыр Искакович,Сулейманов,,,,-
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,06-07.03.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Надира Азимовна,Нарматова,На торжественном мероприятии,,07.03.2013г.,Э.Иманалиевой
Назарали Турдалиевич,Арипов,В командировке,г.Санкт-Петербург,27.02.2013г.,-
Улукбек Тойчубаевич,Кочкоров,,,,-
Абдулатип Маматасанович,Режавалиев,В командировке,Ошская обл.,27.02.2013г.,Э.Джумалиевой
Нурлан Надирович,Торобеков,На переговорах,,27.02.2013г.,-
Каныбек Капашович,Иманалиев,В командировке,Япония,27-28.02.2013г.,-
Карганбек Садыкович,Самаков,,,,-
Ыргал Кармышаковна,Кадыралиева,,,,-
Нурбек Мурпазылжанович,Мурашев,,,,-
Азиз Эмильбекович,Суракматов,,,,-
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,27-28.02.2013г.,-
Малик Калылович,Осмонов,,,,А.Режавалиеву
Нургазы Абдыраевич,Айдаров,,,,-
Хаджимурат Зулкарнаевич,Коркмазов,,,,-
Бахадыр Искакович,Сулейманов,,,,-
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,27-28.02.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Назарали Турдалиевич,Арипов,По уважительной причине,,28.02.2013г.,-
Элмурат Авдувапович,Обдунов,В связи с семейными обстоятельствами,,28.02.2013г.,А.Эшимову
Эркингуль Бекбачаевна,Иманкожоева,В командировке,Германия,20-21.02.2013г.,Ч.Турсунбекову
Роза Корчубековна,Акназарова,В командировке,г.Вена,20-21.02.2013г.,Ч.Султанбековой
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,20-21.02.2013г.,-
Нургазы Абдыраевич,Айдаров,,,,-
Бахадыр Искакович,Сулейманов,,,,-
Эгемберди,Эрматов,,,,З.Алымбекову
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,20-21.02.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Малик Калылович,Осмонов,По состоянию здоровья,,21.02.2013г.,А.Режавалиеву
Чолпон Аалыевна,Султанбекова,По состоянию здоровья,,13.02.2013г.,Р.Акназаровой
Исхак Айтбаевич,Пирматов,,,,К.Бокоеву
Нурбек Каарыевич,Алимбеков,В связи с семейными обстоятельствами,,13-14.02.2013г.,Р.Акназаровой
Эркингуль Бекбачаевна,Иманкожоева,В командировке,Германия,13-14.02.2013г.,Ч.Турсунбекову
Абдулатип Маматасанович,Режавалиев,В командировке,Жалал-Абадская обл.,13-14.02.2013г.,Э.Джумалиевой
Бакыт Эргешевич,Торобаев,В командировке,Жалал-Абадская обл.,13-14.02.2013г.,-
Нурлан Чолпонбаевич,Сулайманов,По состоянию здоровья,,13-14.02.2013г.,-
Ширин Чынгызовна,Айтматова,,,,-
Жыргалбек Алимбаевич,Саматов,,,,-
Ирина Юрьевна,Карамушкина,,,,А.Измалковой
Джаныш Камчыбекович,Кудайбергенов,,,,-
Эгемберди,Эрматов,,,,З.Алымбекову
Бахадыр Искакович,Сулейманов,,,,-
Камчыбек Кыдыршаевич,Ташиев,По уважительной причине,,13-14.02.2013г.,А.Келдибекову
Садыр Нургожоевич,Жапаров,,,,-
Талант Турдумаматович,Мамытов,,,,-
Нариман Ташболотович,Тюлеев,,,,-
Улан Сапарбекович,Чолпонбаев,На похоронах,,06.02.2013г.,-
Эркинбек Джумабаевич,Алымбеков,В командировке,Южная Корея,06-07.02.2013г.,Ө.Текебаеву
Эльмира Бусурманкуловна,Джумалиева,В командировке,Малайзия,06-07.02.2013г.,-
Каныбек Капашович,Иманалиев,,,,-
Эльмира Сансызбаевна,Иманалиева,,,,-
Алла Николаевна,Измалкова,,,,И.Карамушкиной
