firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo
Айнуру Тойчиевна,Алтыбаева,В командировке,г.Ош,22.01.2015г.,-
Эсенгул Байдалиевич,Исаков,По состоянию здоровья,,14.01.2015г.,Т.Узакбаеву
Нурлан Надирович,Торобеков,,,,-
Анарбек Баратович,Калматов,В командировке,Ошская обл.,14-15.01.2015г.,-
Урмат Абдилашимовна,Аманбаева,По состоянию здоровья,,14-15.01.2015г.,-
Жылдызкан Айтибаевна,Жолдошова,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,14-15.01.2015г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Назарали Турдалиевич,Арипов,На встрече,,15.01.2015г.,-
Замир Исакович,Бекбоев,В командировке,Нарынская обл.,31.12.2014г.,-
Карамат Бабашевна,Орозова,В командировке,Баткенская обл.,31.12.2014г.,Э.Сакебаеву
Нуркамил Апишевич,Мадалиев,В связи с семейными обстоятельствами,,31.12.2014г.,А.Артыкову
Урмат Абдилашимовна,Аманбаева,По состоянию здоровья,,31.12.2014г.,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,31.12.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Галина Анатольевна,Скрипкина,В командировке,г.Ош,24.12.2014г.,-
Карганбек Садыкович,Самаков,В командировке,Баткенская обл.,24.12.2014г.,-
Эсенгул Байдалиевич,Исаков,В командировке,Баткенская обл.,24-25.12.2014г.,Т.Узакбаеву
Татьяна Владимировна,Левина,В командировке,Иссык-Кульская   обл.,24-25.12.2014г.,-
Урмат Абдилашимовна,Аманбаева,По состоянию здоровья,,24-25.12.2014г.,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,24-25.12.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Максат Эсенович,Сабиров,В командировке,Иссык-Кульская   обл.,25.12.2014г.,-
Акылбек Шакирович,Султанов,В командировке,Ошская обл.,25.12.2014г.,-
Кантемир Зулумович,Мурзабеков,В командировке,Жалал-Абадская   обл.,25.12.2014г.,Д.Джумабекову
Сайдулла Канболотович,Нышанов,По состоянию здоровья,,17.12.2014г.,-
Курманбек Сапарович,Дыйканбаев,В командировке,Швейцария,17-18.12.2014г.,-
Турсунтай Аблизович,Салимов,,,,Э.Сакебаеву
Галина Анатольевна,Скрипкина,,,,-
Ажибай Айтиевич,Калмаматов,В командировке,Турция,17-18.12.2014г.,Э.Осмонову
Максат Эсенович,Сабиров,На поминках &nbsp;,,17-18.12.2014г.,-
Урмат Абдилашимовна,Аманбаева,По состоянию здоровья,,17-18.12.2014г.,-
Феликс Шаршенбаевич,Кулов,,,,&nbsp;
Нурлан Надирович,Торобеков,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,17-18.12.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
