firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo,source
"Абдимуктар","Маматов","По уважительной причине",,"20-21.05.2015г.","-","http://kenesh.kg/RU/Articles/30068-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2021maya_2015_goda.aspx"
"Ахматбек Келдибекович","Келдибеков","По уважительной причине",,"20-21.05.2015г.","-","http://kenesh.kg/RU/Articles/30068-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2021maya_2015_goda.aspx"
"Мирлан Исакбекович","Бакиров","В командировке","Жалал-Абадская   обл.","06-07.05.2015г.","-","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
"Нурбек Мурпазылжанович","Мурашев","В командировке","Жалал-Абадская   обл.","06-07.05.2015г.","-","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
"Айнуру Тойчиевна","Алтыбаева","В командировке","г.Ош","06-07.05.2015г.","-","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
"Элмурат Абдувапович","Обдунов","По состоянию здоровья",,"06-07.05.2015г.","-","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
"Майрамкан Мамытовна","Кадырбекова","По состоянию здоровья","","06-07.05.2015г.","Ж.Джолдошовой","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
"Болот Абыкеевич","Сулайманкулов","В связи с семейными обстоятельствами",,"06-07.05.2015г.","М.Сабирову","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
"Ахматбек Келдибекович","Келдибеков","По уважительной причине",,"06-07.05.2015г.","-","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
"Бөдөш Аманбаевна","Мамырова","В командировке","г.Ош","07.05.2015г.","-","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
"Акылбек Шакирович","Султанов","В командировке","Ошская обл.","07.05.2015г.","-","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
"Максат Эсенович","Сабиров","В командировке","Иссык-Кульская   обл.","07.05.2015г.","-","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
"Карганбек Садыкович","Самаков","В командировке","Иссык-Кульская   обл.","07.05.2015г.","-","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
"Майрамкул Бекчороевна","Тиленчиева","В командировке","Нарынская обл.","07.05.2015г.","З.Бекбоеву","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
